"Time","Type","NbrCalls"
2016-12-28 00:00:00,"Animals / Pets-Dead Animal -Curb",0
2016-12-28 00:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 00:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",1
2016-12-28 00:00:00,"Property Violations",19
2016-12-28 00:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 00:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 00:00:00,"Trash / Recycling-Trash Collection-Missed by City",0
2016-12-28 00:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",1
2016-12-28 00:00:00,"Trees-Trimming-Tree Limbs",2
2016-12-28 00:00:00,"Vehicles / Parking-Abandoned On Street-Car",0
2016-12-28 01:00:00,"Animals / Pets-Dead Animal -Curb",0
2016-12-28 01:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 01:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",0
2016-12-28 01:00:00,"Property Violations",41
2016-12-28 01:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 01:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 01:00:00,"Trash / Recycling-Trash Collection-Missed by City",0
2016-12-28 01:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",0
2016-12-28 01:00:00,"Trees-Trimming-Tree Limbs",4
2016-12-28 01:00:00,"Vehicles / Parking-Abandoned On Street-Car",1
2016-12-28 02:00:00,"Animals / Pets-Dead Animal -Curb",0
2016-12-28 02:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 02:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",1
2016-12-28 02:00:00,"Property Violations",6
2016-12-28 02:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 02:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 02:00:00,"Trash / Recycling-Trash Collection-Missed by City",0
2016-12-28 02:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",0
2016-12-28 02:00:00,"Trees-Trimming-Tree Limbs",2
2016-12-28 02:00:00,"Vehicles / Parking-Abandoned On Street-Car",1
2016-12-28 03:00:00,"Animals / Pets-Dead Animal -Curb",1
2016-12-28 03:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 03:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",0
2016-12-28 03:00:00,"Property Violations",4
2016-12-28 03:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 03:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 03:00:00,"Trash / Recycling-Trash Collection-Missed by City",0
2016-12-28 03:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",0
2016-12-28 03:00:00,"Trees-Trimming-Tree Limbs",0
2016-12-28 03:00:00,"Vehicles / Parking-Abandoned On Street-Car",0
2016-12-28 05:00:00,"Animals / Pets-Dead Animal -Curb",0
2016-12-28 05:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 05:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",0
2016-12-28 05:00:00,"Property Violations",2
2016-12-28 05:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 05:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 05:00:00,"Trash / Recycling-Trash Collection-Missed by City",0
2016-12-28 05:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",0
2016-12-28 05:00:00,"Trees-Trimming-Tree Limbs",1
2016-12-28 05:00:00,"Vehicles / Parking-Abandoned On Street-Car",0
2016-12-28 06:00:00,"Animals / Pets-Dead Animal -Curb",1
2016-12-28 06:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 06:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",1
2016-12-28 06:00:00,"Property Violations",14
2016-12-28 06:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 06:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 06:00:00,"Trash / Recycling-Trash Collection-Missed by City",0
2016-12-28 06:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",1
2016-12-28 06:00:00,"Trees-Trimming-Tree Limbs",0
2016-12-28 06:00:00,"Vehicles / Parking-Abandoned On Street-Car",1
2016-12-28 07:00:00,"Animals / Pets-Dead Animal -Curb",26
2016-12-28 07:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",20
